id,label,left_name,right_name,left_addr,right_addr,left_city,right_city,left_phone,right_phone,left_category,right_category,left_class,right_class
141,0,` hard rock cafe ',` edison cafe ',' 221 w. 57th st. ',' 228 w. 47th st. ',` new york ',` new york city ',212/489 -6565,212-840-5000,american,diners,261,611
142,1,` dining room ritz-carlton buckhead ',` ritz-carlton dining room ( buckhead ) ',' 3434 peachtree rd. ',' 3434 peachtree rd. ne ',atlanta,atlanta,404/237 -2700,404-237-2700,international,` american ( new ) ',90,90
143,1,` smith & wollensky ',` smith & wollensky ',' 201 e. 49th st. ',' 797 third ave. ',` new york ',` new york city ',212/753 -1530,212-753-1530,american,steakhouses,62,62
144,0,` matthew \ 's ',` masa \ 's ',' 1030 3rd ave. at 61st st. ',' 648 bush st. ',` new york ',` san francisco ',212/838 -4343,415-989-7154,american,` french ( new ) ',305,106
145,0,` border grill ',` roosevelt tamale parlor ',' 4th st. ',' 2817 24th st. ',` los angeles ',` san francisco ',310/451 -1655,415-550-9213,mexican,mexican,116,742
146,0,` cafe ritz-carlton buckhead ',` la grotta ',' 3434 peachtree rd. ',' 2637 peachtree rd. ne ',atlanta,atlanta,404/237 -2700,404-231-1368,` ext 6108 international ',italian,89,85
147,0,` vivande porta via ',` plumpjack cafe ',' 2125 fillmore st. ',' 3127 fillmore st. ',` san francisco ',` san francisco ',415/346 -4430,415-563-4755,italian,` american ( new ) ',524,108
148,1,pisces,pisces,'95 ave. a at 6th st. ','95 ave. a ',` new york ',` new york city ',212/260 -6660,212-260-6660,seafood,seafood,54,54
149,0,` le chardonnay ',citrus,' 8284 melrose ave. ',' 6703 melrose ave. ',` los angeles ',` los angeles ',213/655 -8880,213-857-0034,french,californian,12,6
150,0,bruno,lutece,' 240 e. 58th st. ',' 249 e. 50th st. ',` new york ',` new york city ',212/688 -4190,212-752-2225,italian,` french ( classic ) ',195,44
151,0,march,` shun lee palace ',' 405 e. 58th st. ',' 155 e. 55th st. ',` new york ',` new york city ',212/754 -6272,212-371-8844,american,chinese,46,60
152,0,toulouse,abruzzi,' b peachtree rd. ',' 2355 peachtree rd. ne ',atlanta,atlanta,404/351 -9533,404-261-8186,french,italian,92,74
153,0,` yolie \ 's ',` le montrachet bistro ',' 3900 paradise rd. ',' 3000 paradise rd. ',` las vegas ',` las vegas ',702/794 -0700,702-732-5651,` steak houses ',` french bistro ',452,69
154,0,` chin \ 's ',` madame ching \ 's ',' 3200 las vegas blvd. s ',' 3300 las vegas blvd. s. ',` las vegas ',` las vegas ',702/733 -8899,702-894-7111,asian,asian,67,662
155,1,granita,granita,' 23725 w. malibu rd. ',' 23725 w. malibu rd. ',malibu,malibu,310/456 -0488,310-456-0488,californian,californian,8,8
156,1,` l \ ` orangerie ',` l \ ` orangerie ',' 903 n. la cienega blvd. ',' 903 n. la cienega blvd. ',` los angeles ',` w. hollywood ',310/652 -9770,310-652-9770,french,` french ( classic ) ',11,11
157,1,` georgia grille ',` georgia grille ',' 2290 peachtree rd. . peachtree square shopping center ',' 2290 peachtree rd. ',atlanta,atlanta,404/352 -3517,404-352-3517,american,southwestern,81,81
158,0,` camille \ 's ',` uncle bill \ 's pancake house ',' 1186 n. highland ave. ',' 1305 highland ave. ',atlanta,` manhattan beach ',404/872 -7203,310-545-5177,italian,diners,388,599
159,0,` antonio \ 's ',` fiore rotisserie & grille ',' 3700 w. flamingo ',' 3700 w. flamingo rd. ',` las vegas ',` las vegas ',702/252 -7737,702-252-7702,italian,italian,423,660
160,0,bistango,` ritz-carlton restaurant ',' 1100 peachtree st. ',' 181 peachtree st. ',atlanta,atlanta,404/724 -0901,404-659-0400,mediterranean,` french ( classic ) ',386,91
161,0,` cafe roma ',` chin \ 's ',' 3570 las vegas blvd. s ',' 3200 las vegas blvd. s. ',` las vegas ',` las vegas ',702/731 -7547,702-733-8899,` coffee shops/diners ',chinese,433,67
162,0,` ralph \ 's diner ',` michael \ 's ( las vegas ) ',' 3000 las vegas blvd. s ',' 3595 las vegas blvd. s. ',` las vegas ',` las vegas ',702/732 -6330,702-737-7111,` coffee shops/diners ',continental,448,664
163,0,helmand,` carmine \ 's ',' 430 broadway ',' 2450 broadway ',` san francisco ',` new york city ',415/362 -0641,212-362-2200,` greek and middle eastern ',italian,479,28
164,0,mikado,` michael \ 's ( las vegas ) ',' 3400 las vegas blvd. s ',' 3595 las vegas blvd. s. ',` las vegas ',` las vegas ',702/791 -7111,702-737-7111,asian,continental,446,664
165,1,lulu,` lulu restaurant-bis-cafe ',' 816 folsom st. ',' 816 folsom st. ',` san francisco ',` san francisco ',415/495 -5775,415-495-5775,mediterranean,mediterranean,105,105
166,0,` the bacchanal ',` buccaneer bay club ',' 3570 las vegas blvd. s ',' 3300 las vegas blvd. s. ',` las vegas ',` las vegas ',702/731 -7525,702-894-7350,` only in las vegas ',continental,449,657
167,0,` le marais ',` virgil \ 's real bbq ',' 150 w. 46th st. ',' 152 w. 44th st. ',` new york ',` new york city ',212/869 -0900,212-921-9494,american,bbq,290,66
168,0,` le chantilly ',yama,' 106 e. 57th st. ',' 122 e. 17th st. ',` new york ',` new york city ',212/751 -2931,212-475-0969,french,japanese,285,654
169,0,` pano \ 's and paul \ 's ',' 103 west ',' 1232 w. paces ferry rd. ',' 103 w. paces ferry rd. ',atlanta,atlanta,404/261 -3662,404-233-5993,international,continental,88,675
170,0,` ralph \ 's diner ',` sterling brunch ',' 3000 las vegas blvd. s ',' 3645 las vegas blvd. s. ',` las vegas ',` las vegas ',702/732 -6330,702-739-4651,` coffee shops/diners ',eclectic,448,673
171,0,` tadich grill ',aqua,' 240 california st. ',' 252 california st. ',` san francisco ',` san francisco ',415/391 -2373,415-956-9662,seafood,` american ( new ) ',519,95
172,0,sanppo,postrio,' 1702 post st. ',' 545 post st. ',` san francisco ',` san francisco ',415/346 -3486,415-776-7825,asian,californian,510,109
173,1,` restaurant katsu ',katsu,' 1972 n. hillhurst ave. ',' 1972 hillhurst ave. ',` los angeles ',` los feliz ',213/665 -1891,213-665-1891,asian,japanese,10,10
174,0,petrossian,felidia,' 182 w. 58th st. ',' 243 e. 58th st. ',` new york ',` new york city ',212/245 -2214,212-758-1479,french,italian,52,33
175,0,` zuni cafe & grill ',` cafe flore ',' 1658 market st. ',' 2298 market st. ',` san francisco ',` san francisco ',415/552 -2522,415-621-8579,mediterranean,californian,532,722
176,0,` la folie ',` swan oyster depot ',' 2316 polk st. ',' 1517 polk st. ',` san francisco ',` san francisco ',415/776 -5577,415-673-1101,french,seafood,104,746
177,0,bistro,` michael \ 's ( las vegas ) ',' 3400 las vegas blvd. s ',' 3595 las vegas blvd. s. ',` las vegas ',` las vegas ',702/791 -7111,702-737-7111,continental,continental,429,664
178,0,` virgil \ 's ',` les celebrites ',' 152 w. 44th st. ',' 155 w. 58th st. ',` new york ',` new york city ',' 212 / 921-9494 ',212-484-5113,american,` french ( classic ) ',66,42
179,0,` virgil \ 's ',petrossian,' 152 w. 44th st. ',' 182 w. 58th st. ',` new york ',` new york city ',' 212 / 921-9494 ',212-245-2214,american,russian,66,52
180,0,abbey,tortillas,' 163 ponce de leon ave. ',' 774 ponce de leon ave. ne ',atlanta,atlanta,404/876 -8532,404-892-0193,international,tex-mex,379,716
181,0,` restaurant ritz-carlton atlanta ',` morton \ 's of chicago ( atlanta ) ',' 181 peachtree st. ',' 303 peachtree st. ne ',atlanta,atlanta,404/659 -0400,404-577-4366,continental,steakhouses,91,704
182,0,` bertolini \ 's ',` tre visi ',' 3570 las vegas blvd. s ',' 3799 las vegas blvd. s. ',` las vegas ',` las vegas ',702/735 -4663,702-891-7331,italian,italian,427,674
183,0,` mon kee seafood restaurant ',` lombardi \ 's ',' 679 n. spring st. ','32 spring st. ',` los angeles ',` new york city ',213/628 -6717,212-941-7994,asian,pizza,147,625
184,0,lespinasse,felidia,' 2 e. 55th st. ',' 243 e. 58th st. ',` new york ',` new york city ',212/339 -6719,212-758-1479,american,italian,43,33
185,0,posto,` art \ 's deli ',' 14928 ventura blvd. ',' 12224 ventura blvd. ',` sherman oaks ',` studio city ',818/784 -4400,818-762-1221,italian,delis,156,1
186,0,toulouse,` ritz-carlton cafe ( buckhead ) ',' b peachtree rd. ',' 3434 peachtree rd. ne ',atlanta,atlanta,404/351 -9533,404-237-2700,french,` american ( new ) ',92,89
187,0,` bone \ 's ',` rae \ 's ',' 3130 piedmont road ',' 2901 pico blvd. ',atlanta,` santa monica ',404/237 -2663,310-828-7937,american,diners,76,589
188,0,` the palm ',` la cachette ',' 9001 santa monica blvd. ',' 10506 little santa monica blvd. ',` los angeles ',` century city ',310/550 -8811,310-470-4992,american,` french ( new ) ',15,568
189,0,` le perigord ',` four seasons ',' 405 e. 52nd st. ','99 e. 52nd st. ',` new york ',` new york city ',212/755 -6244,212-754-9494,french,` american ( new ) ',291,34
190,1,aquavit,aquavit,'13 w. 54th st. ','13 w. 54th st. ',` new york ',` new york city ',212/307 -7311,212-307-7311,continental,scandinavian,24,24
191,0,bistro,` coyote cafe ( las vegas ) ',' 3400 las vegas blvd. s ',' 3799 las vegas blvd. s. ',` las vegas ',` las vegas ',702/791 -7111,702-891-7349,continental,southwestern,429,68
192,0,` pinot bistro ',` sushi nozawa ',' 12969 ventura blvd. ',' 11288 ventura blvd. ',` los angeles ',` studio city ',818/990 -0500,818-508-7017,french,japanese,18,595
193,0,` carnival world ',` buzio \ 's in the rio ',' 3700 w. flamingo rd. ',' 3700 w. flamingo rd. ',` las vegas ',` las vegas ',702/252 -7777,702-252-7697,buffets,seafood,435,658
194,1,fenix,` fenix at the argyle ',' 8358 sunset blvd. west ',' 8358 sunset blvd. ',hollywood,` w. hollywood ',213/848 -6677,213-848-6677,american,` french ( new ) ',7,7
195,0,` yolie \ 's ',` rae \ 's ',' 3900 paradise rd. ',' 2901 pico blvd. ',` las vegas ',` santa monica ',702/794 -0700,310-828-7937,` steak houses ',diners,452,589
196,0,` luna si ',` palm the ( atlanta ) ',' 1931 peachtree rd. ',' 3391 peachtree rd. ne ',atlanta,atlanta,404/355 -5993,404-814-1955,continental,steakhouses,405,709
197,0,` la reserve ',` wollensky \ 's grill ',' 4 w. 49th st. ',' 205 e. 49th st. ',` new york ',` new york city ',212/247 -2993,212-753-0444,french,steakhouses,281,653
198,0,` le colonial ',` shun lee palace ',' 149 e. 57th st. ',' 155 e. 55th st. ',` new york ',` new york city ',' 212 / 752-0808 ',212-371-8844,asian,chinese,286,60
199,0,` pinot bistro ',` cafe bizou ',' 12969 ventura blvd. ',' 14016 ventura blvd. ',` los angeles ',` sherman oaks ',818/990 -0500,818-788-3536,french,` french bistro ',18,3
200,0,` gallagher \ 's ',` edison cafe ',' 228 w. 52nd st. ',' 228 w. 47th st. ',` new york ',` new york city ',212/245 -5336,212-840-5000,american,diners,254,611
201,0,` le marais ',` les celebrites ',' 150 w. 46th st. ',' 155 w. 58th st. ',` new york ',` new york city ',212/869 -0900,212-484-5113,american,` french ( classic ) ',290,42
202,0,` margarita \ 's mexican cantina ',` tre visi ',' 3120 las vegas blvd. s ',' 3799 las vegas blvd. s. ',` las vegas ',` las vegas ',702/794 -8200,702-891-7331,mexican,italian,444,674
203,0,` border grill ',` water grill ',' 4th st. ',' 544 s. grand ave. ',` los angeles ',` los angeles ',310/451 -1655,213-891-0900,mexican,seafood,116,600
204,0,'em press court ',moongate,' 3570 las vegas blvd. s ',' 3400 las vegas blvd. s. ',` las vegas ',` las vegas ',702/731 -7888,702-791-7352,asian,chinese,438,666
205,0,` cafe michelle ',` buzio \ 's in the rio ',' 1350 e. flamingo rd. ',' 3700 w. flamingo rd. ',` las vegas ',` las vegas ',702/735 -8686,702-252-7697,american,seafood,432,658
206,0,` the bacchanal ','em eril \ 's new orleans fish house ',' 3570 las vegas blvd. s ',' 3799 las vegas blvd. s. ',` las vegas ',` las vegas ',702/731 -7525,702-891-7374,` only in las vegas ',seafood,449,659
207,0,mikado,` chin \ 's ',' 3400 las vegas blvd. s ',' 3200 las vegas blvd. s. ',` las vegas ',` las vegas ',702/791 -7111,702-733-8899,asian,chinese,446,67
208,0,` steak house ',` steakhouse the ',' 2880 las vegas blvd. s ',' 128 e. fremont st. ',` las vegas ',` las vegas ',702/734 -0410,702-382-1600,` steak houses ',steakhouses,72,671
209,1,` rose pistola ',` rose pistola ',' 532 columbus ave. ',' 532 columbus ave. ',` san francisco ',` san francisco ',415/399 -0499,415-399-0499,italian,italian,111,111
210,1,` la cote basque ',` la cote basque ','60 w. 55th st. between 5th and 6th ave. ','60 w. 55th st. ',` new york ',` new york city ',212/688 -6525,212-688-6525,french,` french ( classic ) ',40,40
211,0,` ernie \ 's ',` joe \ 's ',' 2150 broadway between 75th and 76th sts . ',' 1023 abbot kinney blvd. ',` new york ',venice,212/496 -1588,310-399-5811,american,` american ( new ) ',234,560
212,1,` le chardonnay ',` le chardonnay ( los angeles ) ',' 8284 melrose ave. ',' 8284 melrose ave. ',` los angeles ',` los angeles ',213/655 -8880,213-655-8880,french,` french bistro ',12,12
213,0,` kabuto sushi ',` khan toke thai house ',' 5116 geary blvd. ',' 5937 geary blvd. ',` san francisco ',` san francisco ',415/752 -5652,415-668-6654,asian,thai,486,103
214,0,` le perigord ',march,' 405 e. 52nd st. ',' 405 e. 58th st. ',` new york ',` new york city ',212/755 -6244,212-754-6272,french,` american ( new ) ',291,46
215,0,'em press court ','em eril \ 's new orleans fish house ',' 3570 las vegas blvd. s ',' 3799 las vegas blvd. s. ',` las vegas ',` las vegas ',702/731 -7888,702-891-7374,asian,seafood,438,659
216,0,` manhattan ocean club ',petrossian,'57 w. 58th st. ',' 182 w. 58th st. ',` new york ',` new york city ',' 212 / 371-7777 ',212-245-2214,seafood,russian,45,52
217,0,` coyote cafe ',moongate,' 3799 las vegas blvd. s ',' 3400 las vegas blvd. s. ',` las vegas ',` las vegas ',702/891 -7349,702-791-7352,southwestern,chinese,68,666
218,0,` des alpes ',` peter luger steak house ',' 732 broadway ',' 178 broadway ',` san francisco ',brooklyn,415/788 -9900,718-387-7400,french,steakhouses,468,637
219,0,` lincoln tavern ',` cafe des artistes ','51 w. 64th st. ',' 1 w. 67th st. ',` new york ',` new york city ',212/721 -8271,212-877-3500,american,` french ( classic ) ',294,27
220,0,` bertolini \ 's ',` palace court ',' 3570 las vegas blvd. s ',' 3570 las vegas blvd. s. ',` las vegas ',` las vegas ',702/735 -4663,702-731-7110,italian,` french ( new ) ',427,70
221,0,` indigo coastal grill ',` uncle bill \ 's pancake house ',' 1397 n. highland ave. ',' 1305 highland ave. ',atlanta,` manhattan beach ',404/876 -0676,310-545-5177,caribbean,diners,84,599
222,0,` dante \ 's down the hatch buckhead ',` ritz-carlton cafe ( buckhead ) ',' 3380 peachtree rd. ',' 3434 peachtree rd. ne ',atlanta,atlanta,404/266 -1600,404-237-2700,continental,` american ( new ) ',393,89
223,0,` art \ 's delicatessen ',` pinot bistro ',' 12224 ventura blvd. ',' 12969 ventura blvd. ',` studio city ',` studio city ',818/762 -1221,818-990-0500,american,` french bistro ',1,18
224,0,` cafe adriano ',` trio cafe ',' 3347 fillmore st. ',' 1870 fillmore st. ',` san francisco ',` san francisco ',415/474 -4180,415-563-2248,italian,american,461,749
225,0,tomtom,` georgia grille ',' 3393 peachtree rd. ',' 2290 peachtree rd. ',atlanta,atlanta,404/264 -1163,404-352-3517,continental,southwestern,422,81
226,0,` coyote cafe ',` tre visi ',' 3799 las vegas blvd. s ',' 3799 las vegas blvd. s. ',` las vegas ',` las vegas ',702/891 -7349,702-891-7331,southwestern,italian,68,674
227,0,` bone \ 's ',` duke \ 's ',' 3130 piedmont road ',' 8909 sunset blvd. ',atlanta,` w. hollywood ',404/237 -2663,310-652-3100,american,` coffee shops ',76,551
228,0,` gallagher \ 's ','21 club ',' 228 w. 52nd st. ','21 w. 52nd st. ',` new york ',` new york city ',212/245 -5336,212-582-7200,american,` american ( new ) ',254,23
229,0,mikado,'em eril \ 's new orleans fish house ',' 3400 las vegas blvd. s ',' 3799 las vegas blvd. s. ',` las vegas ',` las vegas ',702/791 -7111,702-891-7374,asian,seafood,446,659
230,0,` the palm ',` cafe blanc ',' 9001 santa monica blvd. ',' 9777 little santa monica blvd. ',` los angeles ',` beverly hills ',310/550 -8811,310-888-0108,american,` pacific new wave ',15,546
231,0,` restaurant ritz-carlton atlanta ',` ritz-carlton cafe ( atlanta ) ',' 181 peachtree st. ',' 181 peachtree st. ',atlanta,atlanta,404/659 -0400,404-659-0400,continental,` american ( new ) ',91,711
232,1,` brasserie le coze ',` brasserie le coze ',' 3393 peachtree rd. . lenox square mall near neiman marcus ',' 3393 peachtree rd. ',atlanta,atlanta,404/266 -1440,404-266-1440,french,` french bistro ',77,77
233,0,` margarita \ 's mexican cantina ',` sterling brunch ',' 3120 las vegas blvd. s ',' 3645 las vegas blvd. s. ',` las vegas ',` las vegas ',702/794 -8200,702-739-4651,mexican,eclectic,444,673
234,0,dawat,lutece,' 210 e. 58th st. ',' 249 e. 50th st. ',` new york ',` new york city ',212/355 -7555,212-752-2225,asian,` french ( classic ) ',32,44
235,0,` union square cafe ',arcadia,'21 e. 16th st. ','21 e. 62nd st. ',` new york ',` new york city ',212/243 -4020,212-223-2900,american,` american ( new ) ',65,603
236,1,patina,patina,' 5955 melrose ave. ',' 5955 melrose ave. ',` los angeles ',` los angeles ',213/467 -1108,213-467-1108,californian,californian,16,16
237,0,` restaurant ritz-carlton atlanta ',` alon \ 's at the terrace ',' 181 peachtree st. ',' 659 peachtree st. ',atlanta,atlanta,404/659 -0400,404-724-0444,continental,sandwiches,91,676
238,0,` art \ 's delicatessen ',` cafe bizou ',' 12224 ventura blvd. ',' 14016 ventura blvd. ',` studio city ',` sherman oaks ',818/762 -1221,818-788-3536,american,` french bistro ',1,3
239,0,` dining room ritz-carlton buckhead ',nava,' 3434 peachtree rd. ',' 3060 peachtree rd. ',atlanta,atlanta,404/237 -2700,404-240-1984,international,southwestern,90,706
240,0,` chin \ 's ',` sterling brunch ',' 3200 las vegas blvd. s ',' 3645 las vegas blvd. s. ',` las vegas ',` las vegas ',702/733 -8899,702-739-4651,asian,eclectic,67,673
241,0,` cafe roma ',` coyote cafe ( las vegas ) ',' 3570 las vegas blvd. s ',' 3799 las vegas blvd. s. ',` las vegas ',` las vegas ',702/731 -7547,702-891-7349,` coffee shops/diners ',southwestern,433,68
242,0,` palace court ',` monte carlo ',' 3570 las vegas blvd. s ',' 3145 las vegas blvd. s. ',` las vegas ',` las vegas ',702/731 -7547,702-733-4524,continental,` french ( new ) ',70,665
243,0,'21 club ',arcadia,'21 w. 52nd st. ','21 e. 62nd st. ',` new york ',` new york city ',212/582 -7200,212-223-2900,american,` american ( new ) ',23,603
244,0,` arnie morton \ 's of chicago ',` morton \ 's of chicago ( las vegas ) ',' 435 s. la cienega blv . ',' 3200 las vegas blvd. s. ',` los angeles ',` las vegas ',310/246 -1501,702-893-0703,american,steakhouses,0,667
245,0,chiam,dawat,' 160 e. 48th st. ',' 210 e. 58th st. ',` new york ',` new york city ',212/371 -2323,212-355-7555,asian,indian,218,32
246,0,tomtom,` ritz-carlton cafe ( buckhead ) ',' 3393 peachtree rd. ',' 3434 peachtree rd. ne ',atlanta,atlanta,404/264 -1163,404-237-2700,continental,` american ( new ) ',422,89
247,0,` des alpes ',` pho hoa ',' 732 broadway ',' 642 broadway ',` san francisco ',chinatown,415/788 -9900,213-626-5530,french,vietnamese,468,585
248,0,` camille \ 's ',` indigo coastal grill ',' 1186 n. highland ave. ',' 1397 n. highland ave. ',atlanta,atlanta,404/872 -7203,404-876-0676,italian,eclectic,388,84
249,0,` cafe adriano ',` plumpjack cafe ',' 3347 fillmore st. ',' 3127 fillmore st. ',` san francisco ',` san francisco ',415/474 -4180,415-563-4755,italian,` american ( new ) ',461,108
250,1,` cafe lalo ',` cafe lalo ',' 201 w. 83rd st. ',' 201 w. 83rd st. ',` new york ',` new york city ',212/496 -6031,212-496-6031,` coffee bar ',coffeehouses,26,26
251,0,` the bacchanal ',` sterling brunch ',' 3570 las vegas blvd. s ',' 3645 las vegas blvd. s. ',` las vegas ',` las vegas ',702/731 -7525,702-739-4651,` only in las vegas ',eclectic,449,673
252,0,` margarita \ 's mexican cantina ',` palace court ',' 3120 las vegas blvd. s ',' 3570 las vegas blvd. s. ',` las vegas ',` las vegas ',702/794 -8200,702-731-7110,mexican,` french ( new ) ',444,70
253,0,` shun lee west ',` john \ 's pizzeria ','43 w. 65th st. ','48 w. 65th st. ',` new york ',` new york city ',212/371 -8844,212-721-7001,asian,pizza,60,618
254,0,` chin \ 's ',` buccaneer bay club ',' 3200 las vegas blvd. s ',' 3300 las vegas blvd. s. ',` las vegas ',` las vegas ',702/733 -8899,702-894-7350,asian,continental,67,657
255,0,felidia,lutece,' 243 e. 58th st. ',' 249 e. 50th st. ',` new york ',` new york city ',212/758 -1479,212-752-2225,italian,` french ( classic ) ',33,44
256,0,` chin \ 's ',` morton \ 's of chicago ( las vegas ) ',' 3200 las vegas blvd. s ',' 3200 las vegas blvd. s. ',` las vegas ',` las vegas ',702/733 -8899,702-893-0703,asian,steakhouses,67,667
257,0,` art \ 's delicatessen ',` mulberry st. ',' 12224 ventura blvd. ',' 17040 ventura blvd. ',` studio city ',encino,818/762 -1221,818-906-8881,american,pizza,1,580
258,0,` sea grill ',` mesa grill ','19 w. 49th st. ',' 102 fifth ave. ',` new york ',` new york city ',212/332 -7610,212-807-7400,seafood,southwestern,345,47
259,0,` smith & wollensky ',` sparks steak house ',' 201 e. 49th st. ',' 210 e. 46th st. ',` new york ',` new york city ',212/753 -1530,212-687-4855,american,steakhouses,62,641
260,0,` rex il ristorante ',` bernard \ 's ',' 617 s. olive st. ',' 515 s. olive st. ',` los angeles ',` los angeles ',213/627 -2300,213-612-1580,italian,continental,19,539
261,0,` bertolini \ 's ',` steak house the ',' 3570 las vegas blvd. s ',' 2880 las vegas blvd. s. ',` las vegas ',` las vegas ',702/735 -4663,702-734-0410,italian,steakhouses,427,72
262,0,` cafe pierre ',` cafe flore ',' 2 e. 61st st. ',' 2298 market st. ',` new york ',` san francisco ',212/940 -8185,415-621-8579,french,californian,203,722
263,0,` le jardin ',` le bernardin ','25 cleveland pl . near spring st. ',' 155 w. 51st st. ',` new york ',` new york city ',212/343 -9599,212-489-1515,french,seafood,288,41
264,0,` gianni \ 's ',` patsy \ 's pizza ','15 fulton st. ','19 old fulton st. ',` new york ',brooklyn,212/608 -7300,718-858-4300,seafood,pizza,255,636
265,0,vong,` jo jo ',' 200 e. 54th st. ',' 160 e. 64th st. ',` new york ',` new york city ',212/486 -9592,212-223-5656,american,` french bistro ',373,38
266,0,` planet hollywood ',` les celebrites ',' 140 w. 57th st. ',' 155 w. 58th st. ',` new york ',` new york city ',212/333 -7827,212-484-5113,american,` french ( classic ) ',328,42
267,0,` le chardonnay ',patina,' 8284 melrose ave. ',' 5955 melrose ave. ',` los angeles ',` los angeles ',213/655 -8880,213-467-1108,french,californian,12,16
268,0,` chin \ 's ',` steak house the ',' 3200 las vegas blvd. s ',' 2880 las vegas blvd. s. ',` las vegas ',` las vegas ',702/733 -8899,702-734-0410,asian,steakhouses,67,72
269,0,` dining room ritz-carlton buckhead ',` georgia grille ',' 3434 peachtree rd. ',' 2290 peachtree rd. ',atlanta,atlanta,404/237 -2700,404-352-3517,international,southwestern,90,81
270,1,'21 club ','21 club ','21 w. 52nd st. ','21 w. 52nd st. ',` new york ',` new york city ',212/582 -7200,212-582-7200,american,` american ( new ) ',23,23
271,0,` bally \ 's big kitchen ',` tre visi ',' 3645 las vegas blvd. s ',' 3799 las vegas blvd. s. ',` las vegas ',` las vegas ',702/739 -4111,702-891-7331,buffets,italian,424,674
272,0,` hard rock cafe ',` jan \ 's family restaurant ',' 8600 beverly blvd. ',' 8424 beverly blvd. ',` los angeles ',la,310/276 -7605,213-651-2866,american,` coffee shops ',137,557
273,0,` california pizza kitchen ',` ruth \ 's chris steak house ( los angeles ) ',' 207 s. beverly dr. ',' 224 s. beverly dr. ',` los angeles ',` beverly hills ',310/275 -1101,310-859-8744,californian,steakhouses,121,593
274,1,matsuhisa,matsuhisa,' 129 n. la cienega blvd. ',' 129 n. la cienega blvd. ',` beverly hills ',` beverly hills ',310/659 -9639,310-659-9639,asian,seafood,14,14
275,1,` steak house ',` steak house the ',' 2880 las vegas blvd. s ',' 2880 las vegas blvd. s. ',` las vegas ',` las vegas ',702/734 -0410,702-734-0410,` steak houses ',steakhouses,72,72
276,0,` cafe ritz-carlton buckhead ',` georgia grille ',' 3434 peachtree rd. ',' 2290 peachtree rd. ',atlanta,atlanta,404/237 -2700,404-352-3517,` ext 6108 international ',southwestern,89,81
277,0,` california culinary academy ',` la folie ',' 625 polk st. ',' 2316 polk st. ',` san francisco ',` san francisco ',415/771 -3500,415-776-5577,french,` french ( new ) ',463,104
278,0,` steak house ',` tre visi ',' 2880 las vegas blvd. s ',' 3799 las vegas blvd. s. ',` las vegas ',` las vegas ',702/734 -0410,702-891-7331,` steak houses ',italian,72,674
279,0,` osteria al droge ',petrossian,' 142 w. 44th st. ',' 182 w. 58th st. ',` new york ',` new york city ',212/944 -3643,212-245-2214,italian,russian,317,52
280,1,` pano \ 's and paul \ 's ',` pano \ 's & paul \ 's ',' 1232 w. paces ferry rd. ',' 1232 w. paces ferry rd. ',atlanta,atlanta,404/261 -3662,404-261-3662,international,` american ( new ) ',88,88
